videoid,fid_value
17833704,73.298466933091
5289475,44.78995872464716
11295197,64.57838827682126
17722498,59.27374006587974
10397586,78.71941470326763
17284758,80.62020630345117
10397583,47.41884968988604
4196252,210.320641889818
4502519,36.96779433703495
3829707,67.8568943030597
12901553,97.72974395279961
4332657,210.56934582199304
6577822,41.53053816448683
2355571,164.25878009171382
4464038,178.4838271955314
4117439,83.77858108671461
6631722,123.79723818312732
15622734,137.01162495695644
6396993,130.33097170008605
4180659,52.95375764490198
11627817,204.18032339345015
12444626,74.08159186326145
4215907,148.5901774773768
1094478,190.86004008794373
5045065,105.73882043297505
4519567,135.63022434343722
3048203,198.89197088356147
4733114,175.9380965787346
15686379,185.1242637913445
4742386,277.60745095829816
5592507,223.69012586503072
6654160,241.80463734166167
4684304,172.36796084655356
11599395,185.39152639996723
17143337,153.53642118549064
3873088,128.82717378202415
3987788,122.95967307561
4361065,131.8801116511766
5905102,106.81606233763472
4259000,160.0866012891039
4912529,222.5127982364669
10433379,191.8913909106064
4260132,187.64853412628486
6557764,247.32235908887606
3740035,368.21984679418887
5565597,228.49281423863732
3010216,221.85843719271978
4301031,151.80789053130263
5039815,178.91007169302463
4823673,154.24109926079296
5146012,282.7097343898882
6136996,168.3920440723307
18101986,168.01214850850408
5418380,184.14330752749018
6498976,162.00034317924087
4823200,119.21595805375466
4919748,182.67457768837386
5601396,298.0136998400658
3755533,73.0757310464419
6798929,263.6335677703819
10544168,119.51527431489122
5068257,87.24769134219162
6572844,270.79724773119267
4983696,174.80095489460524
5146511,118.0682185350399
6192899,204.03905095904872
4927727,106.80960082194203
13728896,317.1518601769227
3704164,79.05621966252295
6388877,195.57598076125083
5778859,120.77461689373672
6005174,173.63074803820024
5833000,188.68556128479233
10265180,169.33018611090245
6602509,89.78180922339985
12130356,154.91889022695705
3969240,85.85726355501053
3998956,240.52886629725023
16923290,220.20648997649857
10601403,145.80334748805416
5039715,304.28623750716827
6022791,221.0308694823986
4091648,51.83035059555952
19401541,112.38259802254174
7055400,68.74007418220359
5585328,57.372210374988924
15809779,101.75778370993572
5127006,141.49398346969525
10159565,414.09102052347765
6714788,296.4545629711347
4144985,233.54090851094503
4866633,103.42669879652289
4264960,53.65092848552675
3029453,207.64641514123653
4779526,92.33017126843816
3191807,97.81913497569604
5197614,149.62406640026285
5155852,306.5421478484842
3335461,81.00079168804773
4185305,214.03498189574964
18169527,216.1953543841168
4621694,156.69577355052556
6517446,68.85794761926009
6386891,243.87865696185773
17314241,218.8528131000098
4936278,111.20180243246446
12340481,214.9344537365983
6222565,172.36070118551913
4912366,127.01859859024187
6293127,177.927479237214
5266798,91.75607390590699
5170027,103.67774203132231
6940546,151.5671435212704
5219155,209.29027560419115
5901661,60.854177522635666
5728448,69.8619768007467
6564894,84.93784333603546
6153453,209.84842153855442
2795737,194.4289867842973
4181142,182.87200633700743
6739971,291.945424074024
5752374,121.97013984955423
4961501,129.92617253854726
4811481,84.14575516792354
5531652,294.1632199433517
5272731,245.7435575638999
18512155,83.48983483988742
4702346,117.03021504442104
5544711,232.00559146207374
5422332,195.35129883372855
10660697,219.87997171587483
6620530,202.7706680518478
18106001,111.23450865922904
6636879,210.51999009270682
4667157,165.5069433128777
4122394,171.84256840650613
5383111,263.5256406522004
6601568,210.28487363668833
6338349,115.84773540909924
6657751,121.64401407527463
1596893,101.97405760533282
6900581,229.84379205311853
4174393,89.3161732013175
6531708,218.15548701048965
3064249,24.850443386077725
6121197,231.7422906079027
5487996,148.60249360046762
5272509,194.04145715220488
6813385,295.9762700157911
6101001,99.89373630836468
5700357,273.4226786474973
3682358,227.3460363667738
6168161,242.32981108762317
6254168,65.57644803549394
16923193,188.90178087463067
5365217,218.98364410354068
6377452,285.2081409771171
4236743,292.630522960185
