videoid,fid_value
scooter-board,225.79539607928714
color-run,229.23473061211806
kite-walk,50.09775117939166
dog-gooses,180.51234574494134
goat,110.14019539430734
walking,169.2138233141617
dance-jump,144.52749935122552
lady-running,161.0384750384647
hockey,82.69142122577094
snowboard,84.58833341739845
flamingo,42.28156573444502
dance-twirl,103.88902794261264
stunt,167.40723222245487
classic-car,168.67469343253015
hike,29.505437802686885
gold-fish,35.20888227183459
horsejump-low,147.54392486462245
tuk-tuk,144.10231596015953
paragliding-launch,178.33465461097398
cows,29.952735495282
soapbox,87.07261297720848
lindy-hop,96.95994928346039
upside-down,181.65147583156937
skate-park,60.53368700400744
car-turn,73.4515462071233
pigs,63.36279554260899
disc-jockey,150.59399058351542
train,96.30278643766272
lucia,137.70458359657408
breakdance-flare,182.23037666418844
mallard-water,53.698091657802564
breakdance,164.74183526325413
loading,128.10358833574946
bmx-bumps,165.99158733364925
longboard,154.22466559708172
miami-surf,129.76293497714013
schoolgirls,108.19252564533735
blackswan,17.89773331313505
dancing,155.2645735317537
paragliding,30.14109033797012
drone,232.94206422321338
camel,14.689430330223201
bmx-trees,126.33059248976828
cat-girl,247.03926921739696
drift-straight,93.34482420363322
bear,35.83922124502071
mbike-trick,112.73286226469601
motocross-bumps,83.40520196158974
drift-chicane,121.37136737758236
boat,38.38840894210837
surf,57.900626033559064
bike-packing,143.4666448690693
dogs-scale,151.83453727590435
swing,53.54664565120052
scooter-gray,53.4646015245479
libby,216.5051690790093
kite-surf,101.69439003666702
drift-turn,120.34649956561802
varanus-cage,282.3856176616487
tennis,60.571237183923415
elephant,40.291806069489915
india,143.9703973053298
crossing,95.10552869470837
boxing-fisheye,83.89848693242546
koala,141.0209512476388
rhino,47.49263969071623
parkour,241.34682966810138
kid-football,116.9683036940398
mallard-fly,145.63071863765975
bus,20.517278636865342
rallye,124.89854440980353
car-roundabout,66.88433446143772
dogs-jump,192.08673070003363
stroller,131.94928672858327
tractor-sand,125.02253154116661
dog,88.65627871273304
sheep,113.90515900550368
horsejump-high,145.4681580980867
