videoid,fid_value
17833704,71.74648802236356
5289475,44.031526746828234
11295197,63.8749795284705
17722498,59.03736200479831
10397586,79.27709584784755
17284758,79.9012370049703
10397583,47.12877819934212
4196252,205.38499895074563
4502519,37.184582727500434
3829707,67.03264297275402
12901553,96.85650030805897
4332657,210.52696554962063
6577822,40.94803408928922
2355571,161.78747644770198
4464038,174.7706565948131
4117439,79.66685794683363
6631722,123.0828112423258
15622734,136.95816283076294
6396993,128.007831894066
4180659,49.18539604194539
11627817,200.74710534528867
12444626,72.56526037209875
4215907,149.50889107794788
1094478,190.09455749808774
5045065,103.26221360546464
4519567,134.71729289734253
3048203,199.91377875620543
4733114,171.4595462410822
15686379,182.9576982731052
4742386,274.73217305753343
5592507,221.04887754072334
6654160,236.3936559327649
4684304,171.09451390084297
11599395,183.7358161808084
17143337,151.7719009327896
3873088,125.85092185202843
3987788,121.15023012409829
4361065,130.11755718978674
5905102,107.14297471230711
4259000,159.3131090792562
4912529,218.10692175597507
10433379,190.67330401258965
4260132,186.38280551413055
6557764,242.09967034415592
3740035,362.0182087582441
5565597,229.18242621257778
3010216,220.4598108831585
4301031,148.49972211259205
5039815,174.13875173838332
4823673,153.38169794124354
5146012,280.8389324499493
6136996,166.97626327278823
18101986,166.20974447023164
5418380,182.11816397072963
6498976,159.13838090477122
4823200,121.0403997679986
4919748,181.96655104929437
5601396,291.91328959578647
3755533,73.18652561594536
6798929,256.8618230129325
10544168,118.27056274118603
5068257,84.68919831062492
6572844,269.8268891931183
4983696,173.587666167599
5146511,116.40189155946234
6192899,200.87659001338926
4927727,107.54195797901578
13728896,317.0204868031417
3704164,78.17136578986597
6388877,188.70408692600535
5778859,119.63183526989494
6005174,172.40866410080574
5833000,191.42934788080794
10265180,166.68788037259912
6602509,88.26811154650468
12130356,152.9330996773793
3969240,85.87014322452455
3998956,242.23824416623535
16923290,216.52773397745455
10601403,143.26794766078018
5039715,295.59127502979777
6022791,217.1490596216559
4091648,53.217516150011065
