videoid,fid_value
17833704,88.35704308670671
11295197,54.623031088987084
5289475,47.512687144199816
17284758,54.62316311062462
17722498,58.177604711778365
10397586,183.83178150460887
4502519,73.81426806935785
10397583,72.73636694681463
12901553,79.79888803995269
12444626,112.89983409418332
3829707,132.70694806711145
4117439,126.77871815290058
4180659,98.80531880266497
6577822,33.504975348980054
2355571,178.7752039375418
6631722,144.14944735129654
1094478,124.84711665806516
4464038,176.9693724137978
6396993,107.05925130458866
4215907,157.89366410448528
6602509,94.15151832245392
4196252,208.58403691018705
7055400,46.97392179460644
3873088,133.9228222392061
4823673,199.98236907292204
17143337,185.33056494463912
15686379,194.3182690992276
4091648,54.759073277871366
4259000,157.76171190884008
10433379,115.8251237373212
5585328,100.14414497766711
5045065,147.1306263661816
4519567,158.16909226808974
18101986,222.73994827470418
3191807,196.6845080033228
3704164,73.38250892672316
3048203,295.58698213714115
4733114,220.87826447565274
5905102,249.5315802264234
4912529,237.4614131070456
4332657,213.43506573656043
4115682,141.0007685699503
17892955,62.867308144668414
4684304,329.9755770509273
5068257,106.2543993553924
5146511,110.36269519235464
11599395,218.85747922948903
3998956,165.13679930118275
3755533,120.38472782872243
4281280,121.67631648989465
4264960,89.22312760714362
19401541,225.182903071152
6005174,180.19491475280265
3335461,82.96940233334433
4361065,155.7315792171498
5778859,129.757441063603
3969240,185.78408024976557
4919748,396.442910040517
4301031,336.88895006581447
5418380,234.51857157561034
10544168,267.57138915376294
4823200,103.69708858053835
4742386,212.28291666725534
12130356,147.86100698797338
6572844,223.02211479779794
10265180,245.43267187513
10601403,242.413297276842
12350428,140.42074673220455
11627817,167.9187588691178
6022791,358.854711482037
13728896,261.9587190940806
6192899,174.84859470191117
5601396,238.46994800763366
4866633,118.59779997555448
15809779,94.37292871100634
6498976,255.28679976872726
5614323,151.27715424563445
3987788,320.93840533959394
6388877,245.87176953308241
5565597,273.6490285031639
6136996,234.81614536943573
5423855,180.71625154374524
4779526,109.00665737716702
5833000,288.6821462939856
6654160,256.01438150674886
5592507,261.24200737343335
6557764,238.42389109006245
4088836,37.88567927142453
3010216,180.9200271910161
4983696,289.6397415586895
5127006,253.4196633128817
15622734,272.0053431168237
4011754,67.54053493960313
5039715,292.4371442706417
4260132,177.3324974677614
6798929,362.7327493585092
3998443,206.40397249364935
4127749,163.96552946321927
10304640,169.0405332425909
2772887,138.227344112808
18169527,179.6321215363239
5728448,245.36725645210188
18512155,162.75624295909873
6517446,95.8567051888358
6564894,405.69525820098823
5266798,163.23514096966267
5170027,223.68190129182932
6254168,149.80527474156082
5752374,159.2733472289425
4912366,128.0024233890407
5266801,162.10154676350552
3064249,79.03990268863681
1596893,138.24022171200338
5422332,282.5656071336268
6940546,180.3312409235732
4961501,162.4663072102596
4936278,120.72723364798424
2795737,260.0220217044522
5901661,266.9459032623553
4811481,197.1013450198317
3831899,124.78476297646222
6222565,190.51781049551033
4621694,170.55351999380144
5219155,238.85975077024722
6657751,169.42839408800185
6386891,251.82810781554932
4122394,327.28381058577133
14058786,275.90251402435945
6338349,197.5444025033105
3918001,164.09627537677017
6101001,119.13916934454898
4174393,90.77668921518364
5243235,112.51268695505829
6293127,186.06444862536182
6531708,309.09573277162576
6601568,213.04192657167096
6739971,246.27098800913745
18106001,125.78138175630022
12551438,123.32027966148036
5272731,256.7240744290794
6830129,282.77052253218693
6784504,188.21337138670984
