videoid,fid_value
17833704,21.528030891173238
5289475,28.47722748488836
11295197,24.039709742139934
17722498,44.43337646916457
10397586,22.736692874120287
17284758,31.69452869844745
10397583,40.58738272439062
4196252,159.5233341585953
4502519,22.330691330771412
3829707,60.03182763771802
12901553,31.150818877944356
4332657,154.24617749964983
6577822,29.707377163504795
2355571,50.570082674339396
4464038,82.91774598725804
4117439,55.53853721713139
6631722,90.85255253892635
15622734,103.76251269198971
6396993,90.25004847287859
4180659,29.518227722163417
11627817,245.36943858124692
12444626,35.86839574548452
4215907,113.83594410235904
1094478,495.047143245219
5045065,151.7801721257756
4519567,103.24639444490097
3048203,183.49401665403275
4733114,198.45569404452743
15686379,151.6036033069861
4742386,229.72378750607035
5592507,261.7648671196055
6654160,208.58689039655744
4684304,141.5218649664577
11599395,225.35673660715497
17143337,144.1295356958828
3873088,108.48444195364051
3987788,181.80595120780043
4361065,126.16799459895309
5905102,73.44492937531832
4259000,172.32848648710447
4912529,223.36457289997787
10433379,140.72993420079965
4260132,213.32167197617872
6557764,256.16309970767793
3740035,360.9397483431444
5565597,148.76446040289719
3010216,112.58142975595928
4301031,112.57210924827714
5039815,506.06071289984084
4823673,118.51510647255805
5146012,201.68906639140556
6136996,107.20931513878531
18101986,97.29527722031352
5418380,100.80778725946199
6498976,128.18751139159562
4823200,135.45082654543805
4919748,120.78156146642468
5601396,175.34980289595768
3755533,56.70666658912007
6798929,262.1049661584303
