videoid,mask_objectmc,box_objectmc
4166343,0.7605467854442245,0.7660867346448647
18904898,0.8375770867482992,0.8246122722708483
18106001,0.9498741924764167,0.9486331249747412
12989157,0.642385053947865,0.6198921113090755
6663334,0.8526048430392923,0.7396183788823394
6658856,0.9650839875077571,0.9874359638930493
4733114,0.9804019339304106,0.9848116300152394
6222565,0.9719792320237327,0.962627103974595
6557763,0.965245535733577,0.9633001992698216
6296872,0.9510113696413611,0.9588482219955698
4969060,0.9113967283115229,0.8205043688117414
3209014,0.8734472223816575,0.6634276280101867
10639403,0.8578392160751003,0.48703635312206667
6557764,0.9714424273409605,0.9805188125065526
1094478,0.9814239611743414,0.9907296548265578
6572844,0.9559354238334602,0.982154426542564
6889590,0.8949008375687767,0.84064518049887
13648583,0.829462082472682,0.7660351534462314
3722527,0.8334102732087744,0.7929782702960271
6540261,0.8131412219549783,0.710481948459523
4765785,0.8753508577883854,0.8163535198177971
4144985,0.9122986292903327,0.9248561562558182
4474704,0.9252963665496493,0.8591586225282511
6762835,0.925408583168932,0.866808803774883
4716647,0.9573008521869387,0.9701835564757989
6471433,0.9417291923843445,0.9433908808224538
6668577,0.9502435283182408,0.9420582086722841
4683423,0.9344184288749143,0.6697181562792414
17231899,0.8881189580762225,0.8732991795321514
4874103,0.9106167635002541,0.8535570245193345
3048203,0.9807459151198586,0.9919660546285619
6923006,0.9617819550980551,0.9062142015749997
5561491,0.9357077310844485,0.9144990022558692
4877892,0.7569560951514201,0.8068063866640434
6719635,0.9502561396314421,0.9263447123236385
4464038,0.9863650297006467,0.9890489907812023
5731535,0.9836763773217551,0.9784097889547516
5559191,0.7643424405902168,0.47897844291114217
5391408,0.942881912699704,0.9701786191106655
10304640,0.7794273166412737,0.6638961078018879
5700357,0.930394570913696,0.9140765654242633
5203510,0.7441509204033275,0.6404214081812832
5272731,0.9579758748625707,0.9253871745079507
5642588,0.927557260942008,0.9472495569125731
4655603,0.9250336930707282,0.6649444063352534
5833000,0.9489638946420653,0.9815723646287401
6813385,0.9311413567723823,0.9824673617493821
4621694,0.9841127185987807,0.9931645256587464
6340288,0.7402314037994838,0.65929812099933
4405571,0.8536861515928217,0.9008780951949997
5319455,0.9809609258079056,0.9764974498905524
4504646,0.8713685519458342,0.9064047175746783
15809779,0.92299857928864,0.9620830511139705
6774634,0.42893729641488515,0.6939323139740025
4927727,0.951998942565505,0.9335888882467936
4507874,0.981119593255642,0.9772899554427242
6724756,0.9431338004139881,0.9050497110691789
3205451,0.5766881074216412,0.3322751599863292
6491262,0.5956017711825647,0.40692946963537
5703666,0.7306492933203539,0.35226390977655997
6084862,0.953744794700671,0.860993308708009
4474880,0.8404799728866307,0.6142840212899287
6123059,0.8543903291338042,0.9468009105491695
5199638,0.8633497033214975,0.8076166001044411
13107456,0.9085485369405415,0.9295060805179718
5039815,0.9687332199171798,0.9700177965482739
6034882,0.7194456853080073,0.9410554083527654
5848369,0.8637469314878986,0.6691104716399627
5602511,0.9436183302581326,0.9627221257147682
11172936,0.5675482860433014,0.44281812004737564
10250520,0.41711656423725907,0.6553100687774807
6896045,0.9716147322326135,0.9754346657146304
3335461,0.8810095135982567,0.9882736724806569
12392436,0.9176135017988172,0.9169999378518138
6225141,0.8762335021686402,0.7586177866938087
16456496,0.8774592789312172,0.34528534952084466
6022791,0.9319211886855099,0.9785157328109031
3253208,0.8700328947346249,0.788825265451214
6184973,0.7908656679933973,0.7952767010918176
5423493,0.948742512849633,0.9525289758341225
5243453,0.9534859326585522,0.9557428335928164
4765810,0.9036659693230639,0.8910748101431698
14755751,0.8074566844480303,0.21773002311616557
17199603,0.634622732238322,0.5191817289768318
10045009,0.8128847339080486,0.9738414305861411
5450065,0.8771105484714673,0.814914816711063
15540590,0.6422152768465701,0.6843974087856716
