num_objects,fvd
0,168.81614418639055
1,547.8107772262316
2,619.2791074124931
3,520.2732502145068
4,460.13031523235117
5,453.114745218915
6,596.4075399185762
0,170.46330181008304
1,482.76128878047916
2,639.3874105817398
3,637.769666052381
4,521.0601006984133
5,458.75475129100056
6,735.9747703609154
